country	year	sport	event	athlete	Result	medal
Italy (until 1946)	1936	Art Contests	Sculpture Medals	Luciano Mercante		SILVER
Italy (until 1946)	1936	Art Contests	Sculpture	Farpi Vignoli		GOLD
Italy (until 1946)	1936	Art Contests	Drawings and Water-Colours	Romano Dazzi		SILVER
Italy (until 1946)	1936	Art Contests	Lyrics	Bruno Fattori		SILVER
Italy (until 1946)	1936	Art Contests	Music: Composition for Orchestra	Lino Liviabella		SILVER
Italy (until 1946)	1936	Track & Field	800m Men	Mario Lanzi	1:53.3	SILVER
Italy (until 1946)	1936	Track & Field	1500m Men	Luigi Beccali	3:49.2	BRONZE
Italy (until 1946)	1936	Track & Field	4x100m Relay Men	Gianni Caldana	41.1	SILVER
Italy (until 1946)	1936	Track & Field	4x100m Relay Men	Tullio Gonnelli	41.1	SILVER
Italy (until 1946)	1936	Track & Field	4x100m Relay Men	Orazio Mariani	41.1	SILVER
Italy (until 1946)	1936	Track & Field	4x100m Relay Men	Elio Ragni	41.1	SILVER
Italy (until 1946)	1936	Track & Field	Discus Throw Men	Giorgio Oberweger	49.23	BRONZE
Italy (until 1946)	1936	Track & Field	80m Hurdles Women	Ondina Valla	11.7	GOLD
Italy (until 1946)	1936	Boxing	Flyweight	Gavino Matta		SILVER
Italy (until 1946)	1936	Boxing	Bantamweight	Ulderico Sergo		GOLD
Italy (until 1946)	1936	Cycling	4000m Team Pursuit Men	Severino Rigoni	4:51.0	SILVER
Italy (until 1946)	1936	Cycling	4000m Team Pursuit Men	Armando Latini	4:51.0	SILVER
Italy (until 1946)	1936	Cycling	4000m Team Pursuit Men	Mario Gentili	4:51.0	SILVER
Italy (until 1946)	1936	Cycling	4000m Team Pursuit Men	Bianco Bianchi	4:51.0	SILVER
Italy (until 1946)	1936	Fencing	Foil, Individual	Giulio Gaudini		GOLD
Italy (until 1946)	1936	Fencing	Foil, Individual	Giorgio Bocchino		BRONZE
Italy (until 1946)	1936	Fencing	Foil, Team	Giorgio Bocchino		GOLD
Italy (until 1946)	1936	Fencing	Foil, Team	Giulio Gaudini		GOLD
Italy (until 1946)	1936	Fencing	Foil, Team	Manlio di Rosa		GOLD
Italy (until 1946)	1936	Fencing	Foil, Team	Gioacchino Guaragna		GOLD
Italy (until 1946)	1936	Fencing	Foil, Team	Gustavo Marzi		GOLD
Italy (until 1946)	1936	Fencing	Foil, Team	Ciro Verratti		GOLD
Italy (until 1946)	1936	Fencing	Épée, Individual	Franco Riccardi		GOLD
Italy (until 1946)	1936	Fencing	Épée, Individual	Saverio Ragno		SILVER
Italy (until 1946)	1936	Fencing	Épée, Individual	Giancarlo Cornaggia-Medici		BRONZE
Italy (until 1946)	1936	Fencing	Épée, Team	Giancarlo Cornaggia-Medici		GOLD
Italy (until 1946)	1936	Fencing	Épée, Team	Giancarlo Brusati		GOLD
Italy (until 1946)	1936	Fencing	Épée, Team	Saverio Ragno		GOLD
Italy (until 1946)	1936	Fencing	Épée, Team	Alfredo Pezzana		GOLD
Italy (until 1946)	1936	Fencing	Épée, Team	Franco Riccardi		GOLD
Italy (until 1946)	1936	Fencing	Épée, Team	Edoardo Mangiarotti		GOLD
Italy (until 1946)	1936	Fencing	Sabre, Individual	Gustavo Marzi		SILVER
Italy (until 1946)	1936	Fencing	Sabre, Team	Gustavo Marzi		SILVER
Italy (until 1946)	1936	Fencing	Sabre, Team	Aldo Masciotta		SILVER
Italy (until 1946)	1936	Fencing	Sabre, Team	Aldo Montano		SILVER
Italy (until 1946)	1936	Fencing	Sabre, Team	Athos Tanzini		SILVER
Italy (until 1946)	1936	Fencing	Sabre, Team	Vincenzo Pinton		SILVER
Italy (until 1946)	1936	Fencing	Sabre, Team	Giulio Gaudini		SILVER
Italy (until 1946)	1936	Modern Pentathlon	Individual	Silvano Abba	45.5	BRONZE
Italy (until 1946)	1936	Rowing	Coxed Pairs Men	Almiro Bergamo	8:49.7	SILVER
Italy (until 1946)	1936	Rowing	Coxed Pairs Men	Guido Santin	8:49.7	SILVER
Italy (until 1946)	1936	Rowing	Coxed Pairs Men	Luciano Negrini	8:49.7	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Cesare Milani	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Ottorino Quaglierini	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Dante Secchi	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Dino Barsotti	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Enzo Bartolini	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Enrico Garzelli	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Oreste Grossi	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Mario Checcacci	6:26.0	SILVER
Italy (until 1946)	1936	Rowing	Eights Men	Guglielmo Del Bimbo	6:26.0	SILVER
Italy (until 1946)	1936	Soccer	Soccer	Alfredo Foni		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Annibale Frossi		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Francesco Gabriotti		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Giuseppe Baldo		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Sergio Bertoni		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Carlo Biagi		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Giulio Capelli		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Luigi Scarabello		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Achille Piccini		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Pietro Rava		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Alfonso Negro		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Libero Marchini		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Ugo Locatelli		GOLD
Italy (until 1946)	1936	Soccer	Soccer	Bruno Venturini		GOLD
Italy (until 1946)	1936	Sailing	8 Meter Class	Domenico Mordini	55	GOLD
Italy (until 1946)	1936	Sailing	8 Meter Class	Giovanni Reggio	55	GOLD
Italy (until 1946)	1936	Sailing	8 Meter Class	Enrico Poggi	55	GOLD
Italy (until 1946)	1936	Sailing	8 Meter Class	Luigi Poggi	55	GOLD
Italy (until 1946)	1936	Sailing	8 Meter Class	Bruno Bianchi	55	GOLD
Italy (until 1946)	1936	Sailing	8 Meter Class	Luigi De Manincor	55	GOLD
Sweden	1936	Art Contests	Sculpture	Stig Blomberg		BRONZE
Sweden	1936	Track & Field	5000m Men	Henry Jonsson	14:29.0	BRONZE
Sweden	1936	Track & Field	Hammer Throw Men	Fred Warngård	54.83	BRONZE
Sweden	1936	Boxing	Lightweight	Erik Ågren		BRONZE
Sweden	1936	Canoeing	K2 10,000m Kayak Pairs (Men)	Tage Fahlborg	43:06.1	BRONZE
Sweden	1936	Canoeing	K2 10,000m Kayak Pairs (Men)	Helge Larsson	43:06.1	BRONZE
Sweden	1936	Canoeing	F2 10,000m Folding Kayak Pairs (Men)	Sven Johansson	45:48.9	GOLD
Sweden	1936	Canoeing	F2 10,000m Folding Kayak Pairs (Men)	Erik Bladström	45:48.9	GOLD
Sweden	1936	Equestrian	Dressage, Team	Gregor Adlercreutz	4660.5	BRONZE
Sweden	1936	Equestrian	Dressage, Team	Sven Colliander	4660.5	BRONZE
Sweden	1936	Equestrian	Dressage, Team	Folke Sandström	4660.5	BRONZE
Sweden	1936	Fencing	Épée, Team	Sven Thofelt		SILVER
Sweden	1936	Fencing	Épée, Team	Hans Drakenberg		SILVER
Sweden	1936	Fencing	Épée, Team	Gustaf Dyrssen		SILVER
Sweden	1936	Fencing	Épée, Team	Gösta Almgren		SILVER
Sweden	1936	Fencing	Épée, Team	Hans Granfelt		SILVER
Sweden	1936	Fencing	Épée, Team	Birger Cederin		SILVER
Sweden	1936	Shooting	Rapid-Fire Pistol	Torsten Ullmann	30	BRONZE
Sweden	1936	Shooting	Free Pistol	Torsten Ullmann	559	GOLD
Sweden	1936	Wrestling	Greco-Roman Bantamweight	Egon Svensson		SILVER
Sweden	1936	Wrestling	Greco-Roman Featherweight	Einar Karlsson		BRONZE
Sweden	1936	Wrestling	Greco-Roman Welterweight	Rudolf Svedberg		GOLD
Sweden	1936	Wrestling	Greco-Roman Middleweight	Ivar Johansson		GOLD
Sweden	1936	Wrestling	Greco-Roman Light Heavyweight	Axel Cadier		GOLD
Sweden	1936	Wrestling	Greco-Roman Heavyweight	John Nyman		SILVER
Sweden	1936	Wrestling	Freestyle Featherweight	Gösta Jönsson		BRONZE
Sweden	1936	Wrestling	Freestyle Welterweight	Thure Andersson		SILVER
Sweden	1936	Wrestling	Freestyle Light Heavyweight	Knut Fridell		GOLD
Sweden	1936	Sailing	Star	Arvid Laurin	64	SILVER
Sweden	1936	Sailing	Star	Uno Wallentin	64	SILVER
Sweden	1936	Sailing	6 Meter Class	Torsten Lord	62	BRONZE
Sweden	1936	Sailing	6 Meter Class	Dagmar Salén	62	BRONZE
Sweden	1936	Sailing	6 Meter Class	Sven Salén	62	BRONZE
Sweden	1936	Sailing	6 Meter Class	Martin Hindorff	62	BRONZE
Sweden	1936	Sailing	6 Meter Class	Lennart Ekdahl	62	BRONZE
Finland	1936	Art Contests	Literature Epic Works	Urho Karhumäki		GOLD
Finland	1936	Track & Field	5000m Men	Gunnar Höckert	14:22.2	GOLD
Finland	1936	Track & Field	5000m Men	Lauri Lehtinen	14:25.8	SILVER
Finland	1936	Track & Field	10000m Men	Ilmari Salminen	30:15.4	GOLD
Finland	1936	Track & Field	10000m Men	Arvo Askola	30:15.6	SILVER
Finland	1936	Track & Field	10000m Men	Volmari Iso-Hollo	30:20.2	BRONZE
Finland	1936	Track & Field	3000m Steeplechase Men	Volmari Iso-Hollo	9:03.8	GOLD
Finland	1936	Track & Field	3000m Steeplechase Men	Kalle Tuominen	9:06.8	SILVER
Finland	1936	Track & Field	Shot Put Men	Sulo Bärlund	16.12	SILVER
Finland	1936	Track & Field	Javelin Throw Men	Yrjö Nikkanen	70.77	SILVER
Finland	1936	Track & Field	Javelin Throw Men	Kalervo Toivonen	70.72	BRONZE
Finland	1936	Boxing	Welterweight	Sten Suvio		GOLD
Finland	1936	Gymnastics	Horizontal Bar	Ale Saarvala	19.367	GOLD
Finland	1936	Gymnastics	Team Combined Exercises	Ale Saarvala	638.468	BRONZE
Finland	1936	Gymnastics	Team Combined Exercises	Veikko Pakarinen	638.468	BRONZE
Finland	1936	Gymnastics	Team Combined Exercises	Mauri Noroma-Nyberg	638.468	BRONZE
Finland	1936	Gymnastics	Team Combined Exercises	Heikki Savolainen	638.468	BRONZE
Finland	1936	Gymnastics	Team Combined Exercises	Esa Seeste	638.468	BRONZE
Finland	1936	Gymnastics	Team Combined Exercises	Martti Uosikkinen	638.468	BRONZE
Finland	1936	Wrestling	Greco-Roman Featherweight	Aarne Reini		SILVER
Finland	1936	Wrestling	Greco-Roman Lightweight	Lauri Koskela		GOLD
Finland	1936	Wrestling	Greco-Roman Welterweight	Eino Virtanen		BRONZE
Finland	1936	Wrestling	Freestyle Featherweight	Kustaa Pihlajamäki		GOLD
Finland	1936	Wrestling	Freestyle Lightweight	Hermanni Pihlajamäki		BRONZE
Finland	1936	Wrestling	Freestyle Heavyweight	Hjalmar Nyström		BRONZE
Japan	1936	Art Contests	Drawings and Water-Colours	Shujaku Suzuki		BRONZE
Japan	1936	Art Contests	Paintings	Tsuguharu Fujita		BRONZE
Japan	1936	Track & Field	Marathon Men	Kee-Chung Sohn 	2:29:19.2	GOLD
Japan	1936	Track & Field	Marathon Men	Sung-Yong Nam 	2:31:42	BRONZE
Japan	1936	Track & Field	Pole Vault Men	Shuhei Nishida	4.25	SILVER
Japan	1936	Track & Field	Pole Vault Men	Sueo Oe	4.25	BRONZE
Japan	1936	Track & Field	Long Jump Men	Naoto Tajima	7.74	BRONZE
Japan	1936	Track & Field	Triple Jump Men	Naoto Tajima	16.00	GOLD
Japan	1936	Track & Field	Triple Jump Men	Masao Harada	15.66	SILVER
Japan	1936	Swimming	100m Freestyle Men	Masonori Yusa	57.9	SILVER
Japan	1936	Swimming	100m Freestyle Men	Shigeo Arai	58.0	BRONZE
Japan	1936	Swimming	400m Freestyle Men	Shumpei Uto	4:45.6	SILVER
Japan	1936	Swimming	400m Freestyle Men	Shozo Makino	4:48.1	BRONZE
Japan	1936	Swimming	1500m Freestyle Men	Noboru Terada	19:13.7	GOLD
Japan	1936	Swimming	1500m Freestyle Men	Shumpei Uto	19:34.5	BRONZE
Japan	1936	Swimming	100m Backstroke Men	Masaji Kiyokawa	1:08.4	BRONZE
Japan	1936	Swimming	200m Breaststroke Men	Tetsuo Hamuro	2:41.5	GOLD
Japan	1936	Swimming	200m Breaststroke Men	Reizo Koike	2:44.2	BRONZE
Japan	1936	Swimming	4x200m Freestyle Relay Men	Shigeo Arai	8:51.5	GOLD
Japan	1936	Swimming	4x200m Freestyle Relay Men	Masahari Taguchi	8:51.5	GOLD
Japan	1936	Swimming	4x200m Freestyle Relay Men	Shigeo Sugiura	8:51.5	GOLD
Japan	1936	Swimming	4x200m Freestyle Relay Men	Masonori Yusa	8:51.5	GOLD
Japan	1936	Swimming	200m Breaststroke Women	Hideko Maehata	3:03.6	GOLD
France	1936	Boxing	Middleweight	Jean Despeaux		GOLD
France	1936	Boxing	Light Heavyweight	Roger Michelot		GOLD
France	1936	Canoeing	F1 10,000m Folding Kayak Singles (Men)	Henri Eberhardt	50:04.2	SILVER
France	1936	Cycling	1000m Sprint (Scratch) Men	Louis Chaillot		BRONZE
France	1936	Cycling	1000m Time Trial Men	Pierre Georget	1:12.8	SILVER
France	1936	Cycling	4000m Team Pursuit Men	Guy Lapébie	4:45.0	GOLD
France	1936	Cycling	4000m Team Pursuit Men	Jean Goujon	4:45.0	GOLD
France	1936	Cycling	4000m Team Pursuit Men	Roger-Jean Le Nizerhy	4:45.0	GOLD
France	1936	Cycling	4000m Team Pursuit Men	Robert Charpentier	4:45.0	GOLD
France	1936	Cycling	Individual Road Race Men	Robert Charpentier	2:33:05.0	GOLD
France	1936	Cycling	Individual Road Race Men	Guy Lapébie	2:33:05.2	SILVER
France	1936	Cycling	Team Road Race Men	Guy Lapébie	7:39:16.2	GOLD
France	1936	Cycling	Team Road Race Men	Robert Charpentier	7:39:16.2	GOLD
France	1936	Cycling	Team Road Race Men	Robert Dorgebray	7:39:16.2	GOLD
France	1936	Cycling	2000m Tandem	Pierre Georget		BRONZE
France	1936	Cycling	2000m Tandem	Georges Maton		BRONZE
France	1936	Equestrian	Dressage, Team	Daniel Gillois	4846	SILVER
France	1936	Equestrian	Dressage, Team	Gérard de Ballorre	4846	SILVER
France	1936	Equestrian	Dressage, Team	André Jousseaume	4846	SILVER
France	1936	Fencing	Foil, Individual	Edward Gardère		SILVER
France	1936	Fencing	Foil, Team	Edward Gardère		SILVER
France	1936	Fencing	Foil, Team	René Lemoine		SILVER
France	1936	Fencing	Foil, Team	Jaques Coutrot		SILVER
France	1936	Fencing	Foil, Team	André Gardère		SILVER
France	1936	Fencing	Foil, Team	René Bondoux		SILVER
France	1936	Fencing	Foil, Team	René Bougnol		SILVER
France	1936	Fencing	Épée, Team	Georges Buchard		BRONZE
France	1936	Fencing	Épée, Team	Philippe Cattiau		BRONZE
France	1936	Fencing	Épée, Team	Henri Dulieux		BRONZE
France	1936	Fencing	Épée, Team	Bernard Schmetz		BRONZE
France	1936	Fencing	Épée, Team	Paul Wormser		BRONZE
France	1936	Fencing	Épée, Team	Michel Pécheux		BRONZE
France	1936	Rowing	Coxed Pairs Men	Noël Vandemotte	8:54.0	BRONZE
France	1936	Rowing	Coxed Pairs Men	Georges Tapie	8:54.0	BRONZE
France	1936	Rowing	Coxed Pairs Men	Marceau Fourcade	8:54.0	BRONZE
France	1936	Rowing	Coxed Fours Men	Marcel Chauvigné	7:33.3	BRONZE
France	1936	Rowing	Coxed Fours Men	Marcel Cosmat	7:33.3	BRONZE
France	1936	Rowing	Coxed Fours Men	Fernand Vandemotte	7:33.3	BRONZE
France	1936	Rowing	Coxed Fours Men	Marcel Vandemotte	7:33.3	BRONZE
France	1936	Rowing	Coxed Fours Men	Noël Vandemotte	7:33.3	BRONZE
France	1936	Shooting	Free Pistol	Charles de Jammonières	540	BRONZE
France	1936	Weightlifting	Light Heavyweight	Louis Hostin	372.5	GOLD
France	1936	Wrestling	Freestyle Middleweight	Emile Poilvé		GOLD
Switzerland	1936	Art Contests	Applied Graphics	Alex Diggelmann		GOLD
Switzerland	1936	Art Contests	Merit for Aeronautics	Hermann Schreiber		GOLD
Switzerland	1936	Art Contests	Merit for Mountaineering	Günter Dyhrenfurth		GOLD
Switzerland	1936	Art Contests	Merit for Mountaineering	Hettie Dyhrenfurth		GOLD
Switzerland	1936	Track & Field	50km Walk Men	Arthur Schwab	4:32:09.2	SILVER
Switzerland	1936	Cycling	Individual Road Race Men	Ernst Nievergelt	2:33:05.8	BRONZE
Switzerland	1936	Cycling	Team Road Race Men	Ernst Nievergelt	7:39:20.4	SILVER
Switzerland	1936	Cycling	Team Road Race Men	Kurt Ott	7:39:20.4	SILVER
Switzerland	1936	Cycling	Team Road Race Men	Edgar Buchwalder	7:39:20.4	SILVER
Switzerland	1936	Gymnastics	All-around, Individual Men	Eugen Mack	112.334	SILVER
Switzerland	1936	Gymnastics	Parallel Bars	Michael Reusch	19.034	SILVER
Switzerland	1936	Gymnastics	Long Horse Vault	Eugen Mack	18.967	SILVER
Switzerland	1936	Gymnastics	Pommeled Horse	Eugen Mack	19.167	SILVER
Switzerland	1936	Gymnastics	Pommeled Horse	Albert Bachmann	19.067	BRONZE
Switzerland	1936	Gymnastics	Floor Exercises	Georges Miez	18.666	GOLD
Switzerland	1936	Gymnastics	Floor Exercises	Josef Walter	18.50	SILVER
Switzerland	1936	Gymnastics	Floor Exercises	Eugen Mack	18.466	BRONZE
Switzerland	1936	Gymnastics	Team Combined Exercises	Eugen Mack	654.802	SILVER
Switzerland	1936	Gymnastics	Team Combined Exercises	Georges Miez	654.802	SILVER
Switzerland	1936	Gymnastics	Team Combined Exercises	Michael Reusch	654.802	SILVER
Switzerland	1936	Gymnastics	Team Combined Exercises	Albert Bachmann	654.802	SILVER
Switzerland	1936	Gymnastics	Team Combined Exercises	Walter Bach	654.802	SILVER
Switzerland	1936	Gymnastics	Team Combined Exercises	Edi Steinemann	654.802	SILVER
Switzerland	1936	Handball	Handball Men	Max Streib		BRONZE
Switzerland	1936	Handball	Handball Men	Robert Studer		BRONZE
Switzerland	1936	Handball	Handball Men	Rudolf Wirz		BRONZE
Switzerland	1936	Handball	Handball Men	Eugen Seiterle		BRONZE
Switzerland	1936	Handball	Handball Men	Max Blösch		BRONZE
Switzerland	1936	Handball	Handball Men	Rolf Fäs		BRONZE
Switzerland	1936	Handball	Handball Men	Willy Gysi		BRONZE
Switzerland	1936	Handball	Handball Men	Erland Herkenrath		BRONZE
Switzerland	1936	Handball	Handball Men	Willy Schäfer		BRONZE
Switzerland	1936	Handball	Handball Men	Werner Scheurmann		BRONZE
Switzerland	1936	Handball	Handball Men	Edy Schmid		BRONZE
Switzerland	1936	Handball	Handball Men	Erich Schmitt		BRONZE
Switzerland	1936	Handball	Handball Men	Georg Mischon		BRONZE
Switzerland	1936	Handball	Handball Men	Ernst Hufschmid		BRONZE
Switzerland	1936	Handball	Handball Men	Willy Hufschmid		BRONZE
Switzerland	1936	Handball	Handball Men	Werner Meyer		BRONZE
Switzerland	1936	Rowing	Coxless Fours Men	Karl Schmid	7:10.6	BRONZE
Switzerland	1936	Rowing	Coxless Fours Men	Alex Homberger	7:10.6	BRONZE
Switzerland	1936	Rowing	Coxless Fours Men	Hans Homberger	7:10.6	BRONZE
Switzerland	1936	Rowing	Coxless Fours Men	Hermann Betschart	7:10.6	BRONZE
Switzerland	1936	Rowing	Coxed Fours Men	Hermann Betschart	7:24.3	SILVER
Switzerland	1936	Rowing	Coxed Fours Men	Hans Homberger	7:24.3	SILVER
Switzerland	1936	Rowing	Coxed Fours Men	Alex Homberger	7:24.3	SILVER
Switzerland	1936	Rowing	Coxed Fours Men	Karl Schmid	7:24.3	SILVER
Switzerland	1936	Rowing	Coxed Fours Men	Rolf Spring	7:24.3	SILVER
Austria	1936	Art Contests	Architectural Design	Hermann Kutschera		GOLD
Austria	1936	Art Contests	Architectural Design	Herbert Kastinger		BRONZE
Austria	1936	Art Contests	Architectural Design	Hermann Stiegholzer		BRONZE
Austria	1936	Art Contests	Paintings	Rudolf Eisenmenger		SILVER
Austria	1936	Art Contests	Lyrics	Hans Hellmuth Stoiber		BRONZE
Austria	1936	Canoeing	K1 1000m Kayak Singles (Men)	Gregor Hradetzky	4:22.9	GOLD
Austria	1936	Canoeing	K2 1000m Kayak Pairs (Men)	Adolf Kainz	4:03.8	GOLD
Austria	1936	Canoeing	K2 1000m Kayak Pairs (Men)	Alfons Dorfner	4:03.8	GOLD
Austria	1936	Canoeing	K1 10,000m Kayak Singles (Men)	Fritz Landertinger	46:17.7	SILVER
Austria	1936	Canoeing	K2 10,000m Kayak Pairs (Men)	Viktor Kalisch	42:05.4	SILVER
Austria	1936	Canoeing	K2 10,000m Kayak Pairs (Men)	Karl Steinhuber	42:05.4	SILVER
Austria	1936	Canoeing	F1 10,000m Folding Kayak Singles (Men)	Gregor Hradetzky	50:01.2	GOLD
Austria	1936	Canoeing	C2 1000m Canadian Pairs (Men)	Karl Proisl	4:53.8	SILVER
Austria	1936	Canoeing	C2 1000m Canadian Pairs (Men)	Rupert Weinstabl	4:53.8	SILVER
Austria	1936	Canoeing	C2 10,000m Canadian Pairs (Men)	Rupert Weinstabl	51:28.0	BRONZE
Austria	1936	Canoeing	C2 10,000m Canadian Pairs (Men)	Karl Proisl	51:28.0	BRONZE
Austria	1936	Equestrian	Dressage, Individual	Alois Podhajsky	1721.5	BRONZE
Austria	1936	Fencing	Foil, Individual Women	Ellen Preis		BRONZE
Austria	1936	Handball	Handball Men	Hans Houska		SILVER
Austria	1936	Handball	Handball Men	Johann Tauscher		SILVER
Austria	1936	Handball	Handball Men	Jaroslav Volak		SILVER
Austria	1936	Handball	Handball Men	Leopold Wohlrab		SILVER
Austria	1936	Handball	Handball Men	Fritz Würmböck		SILVER
Austria	1936	Handball	Handball Men	Hans Zehetner		SILVER
Austria	1936	Handball	Handball Men	Siegfried Powolny		SILVER
Austria	1936	Handball	Handball Men	Fritz Maurer		SILVER
Austria	1936	Handball	Handball Men	Anton Perwein		SILVER
Austria	1936	Handball	Handball Men	Siegfried Purner		SILVER
Austria	1936	Handball	Handball Men	Walter Reisp		SILVER
Austria	1936	Handball	Handball Men	Alfred Schmalzer		SILVER
Austria	1936	Handball	Handball Men	Alois Schnabel		SILVER
Austria	1936	Handball	Handball Men	Ludwig Schuberth		SILVER
Austria	1936	Handball	Handball Men	Otto Licha		SILVER
Austria	1936	Handball	Handball Men	Ferdinand Kiefler		SILVER
Austria	1936	Handball	Handball Men	Josef Krejci		SILVER
Austria	1936	Handball	Handball Men	Emil Juracka		SILVER
Austria	1936	Handball	Handball Men	Franz Bartl		SILVER
Austria	1936	Handball	Handball Men	Franz Berghammer		SILVER
Austria	1936	Handball	Handball Men	Franz Bistricky		SILVER
Austria	1936	Handball	Handball Men	Franz Brunner		SILVER
Austria	1936	Handball	Handball Men	Burkhard Gantenbein		BRONZE
Austria	1936	Rowing	Single Sculls Men	Josef Hasenöhrl	8:25.8	SILVER
Austria	1936	Soccer	Soccer	Max Hofmeister		SILVER
Austria	1936	Soccer	Soccer	Martin Kargl		SILVER
Austria	1936	Soccer	Soccer	Edi Kainberger		SILVER
Austria	1936	Soccer	Soccer	Karl Kainberger		SILVER
Austria	1936	Soccer	Soccer	Franz Fuchsberger		SILVER
Austria	1936	Soccer	Soccer	Anton Krenn		SILVER
Austria	1936	Soccer	Soccer	Ernst Künz		SILVER
Austria	1936	Soccer	Soccer	Josef Kitzmüller		SILVER
Austria	1936	Soccer	Soccer	Franz Mandl		SILVER
Austria	1936	Soccer	Soccer	Adolf Laudon		SILVER
Austria	1936	Soccer	Soccer	Walter Werginz		SILVER
Austria	1936	Soccer	Soccer	Karl Wallmüller		SILVER
Austria	1936	Soccer	Soccer	Klement Steinmetz		SILVER
Austria	1936	Weightlifting	Lightweight	Robert Fein	342.5	GOLD
Netherlands	1936	Track & Field	100m Men	Tinus Osendarp	10.5	BRONZE
Netherlands	1936	Track & Field	200m Men	Tinus Osendarp	21.3	BRONZE
Netherlands	1936	Canoeing	K1 1000m Kayak Singles (Men)	Jaap Kraaier	4:35.1	BRONZE
Netherlands	1936	Canoeing	K2 1000m Kayak Pairs (Men)	Nico Tates	4:12.2	BRONZE
Netherlands	1936	Canoeing	K2 1000m Kayak Pairs (Men)	Wim van der Kroft	4:12.2	BRONZE
Netherlands	1936	Canoeing	F2 10,000m Folding Kayak Pairs (Men)	Kees Wijdekop	46:12.4	BRONZE
Netherlands	1936	Canoeing	F2 10,000m Folding Kayak Pairs (Men)	Piet Wijdekop	46:12.4	BRONZE
Netherlands	1936	Cycling	1000m Sprint (Scratch) Men	Arie van Vliet		SILVER
Netherlands	1936	Cycling	1000m Time Trial Men	Arie van Vliet	1:12.0	GOLD
Netherlands	1936	Cycling	2000m Tandem	Hendrik Ooms		SILVER
Netherlands	1936	Cycling	2000m Tandem	Bernhard Leene		SILVER
Netherlands	1936	Equestrian	Jumping, Team	Jan de Bruine	51.5	SILVER
Netherlands	1936	Equestrian	Jumping, Team	Johan Greter	51.5	SILVER
Netherlands	1936	Equestrian	Jumping, Team	Henri van Schaik	51.5	SILVER
Netherlands	1936	Field Hockey	Field Hockey Men	Max Westerkamp		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Antoine van Lierop		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Ernst van den Berg		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Rudolf van der Haar		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Rein de Waal		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	René Sparenberg		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Henri Schnitger		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Pieter Gunning		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Carl Heijbroek		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Henk de Looper		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Jan de Looper		BRONZE
Netherlands	1936	Field Hockey	Field Hockey Men	Agathon de Roos		BRONZE
Netherlands	1936	Swimming	100m Freestyle Women	Rie Mastenbroek	1:05.9	GOLD
Netherlands	1936	Swimming	400m Freestyle Women	Rie Mastenbroek	5:26.4	GOLD
Netherlands	1936	Swimming	100m Backstroke Women	Nida Senff	1:18.9	GOLD
Netherlands	1936	Swimming	100m Backstroke Women	Rie Mastenbroek	1:19.2	SILVER
Netherlands	1936	Swimming	4x100m Freestyle Relay Women	Rie Mastenbroek	4:36.0	GOLD
Netherlands	1936	Swimming	4x100m Freestyle Relay Women	Willie den Ouden	4:36.0	GOLD
Netherlands	1936	Swimming	4x100m Freestyle Relay Women	Jopie Selbach	4:36.0	GOLD
Netherlands	1936	Swimming	4x100m Freestyle Relay Women	Tini Wagner	4:36.0	GOLD
Netherlands	1936	Sailing	Monotype Class	Daan Kagchelland	163	GOLD
Netherlands	1936	Sailing	Star	Willem de Vries	63	BRONZE
Netherlands	1936	Sailing	Star	Bob Maas	63	BRONZE
Hungary	1936	Track & Field	High Jump Women	Ibolya Csák	1.60	GOLD
Hungary	1936	Boxing	Lightweight	Imre Harangi		GOLD
Hungary	1936	Equestrian	Jumping, Individual	József von Platthy	8	BRONZE
